Time [s of week]         phi [°]      lambda [°]     h [m]
       221343.0  46.97927235556  15.42810223889    382.471
       221344.0  46.97928917778  15.42816746944    381.834
       221345.0  46.97930192222  15.42822803056    382.147
       221346.0  46.97931551111  15.42829620556    382.135
       221347.0  46.97932604167  15.42835499722    382.089
       221348.0  46.97933457500  15.42841304722    382.125
       221349.0  46.97934928889  15.42846873056    382.673
       221350.0  46.97937536389  15.42850368056    382.428
       221351.0  46.97941330000  15.42851135833    381.523
       221352.0  46.97944080556  15.42847619444    380.654
       221353.0  46.97945439722  15.42843248889    380.975
       221354.0  46.97945144167  15.42837619167    381.861
       221355.0  46.97944356944  15.42831726944    382.113
       221356.0  46.97942978056  15.42825505278    382.636
       221357.0  46.97941480000  15.42819503056    382.910
       221358.0  46.97939974444  15.42812575000    383.041
       221359.0  46.97938355833  15.42805923611    382.319
       221360.0  46.97937009722  15.42799401389    381.754
       221361.0  46.97935363611  15.42792804444    382.250
       221362.0  46.97934008333  15.42787017222    382.611
       221363.0  46.97932830556  15.42780550000    381.980
       221364.0  46.97931131944  15.42775835000    381.888
       221365.0  46.97928446944  15.42771706667    381.726
       221366.0  46.97924736111  15.42770208889    382.268
       221367.0  46.97921717778  15.42772339722    381.713
       221368.0  46.97920252222  15.42777544444    380.845
       221369.0  46.97921168611  15.42782545000    381.250
       221370.0  46.97922582500  15.42788078611    381.555
       221371.0  46.97923634444  15.42793593333    381.848
       221372.0  46.97924842778  15.42799321389    381.780
       221373.0  46.97925996389  15.42804880556    381.860
       221374.0  46.97927093889  15.42809953056    382.512
       221375.0  46.97927936389  15.42814122500    382.461
       221376.0  46.97928469167  15.42817965278    382.728
       221377.0  46.97929261944  15.42820350278    382.384
       221378.0  46.97929618056  15.42821581944    382.488
       221379.0  46.97929714722  15.42821791111    382.004
       221380.0  46.97929563333  15.42821301944    382.357
       221381.0  46.97929853056  15.42821656667    382.588
       221382.0  46.97930052778  15.42821806389    381.822
       221383.0  46.97930038889  15.42821646944    381.380
       221384.0  46.97930017222  15.42821619444    381.110
       221385.0  46.97929941389  15.42821975278    381.316
       221386.0  46.97929496389  15.42821494167    381.946
       221387.0  46.97929808889  15.42821817222    381.560
       221388.0  46.97929936667  15.42821649722    381.147
       221389.0  46.97929993333  15.42821898889    381.677
       221390.0  46.97929776389  15.42821451667    382.111
       221391.0  46.97929761944  15.42822018056    381.744
       221392.0  46.97929841389  15.42822212778    381.605
       221393.0  46.97929837778  15.42821995556    381.255
       221394.0  46.97929704444  15.42821850000    382.075
       221395.0  46.97929351111  15.42821736667    381.793
       221396.0  46.97929574167  15.42821807222    381.903
       221397.0  46.97929475000  15.42822128333    381.317
       221398.0  46.97929966389  15.42821803889    380.688
       221399.0  46.97930206944  15.42821520278    381.082
       221400.0  46.97930215000  15.42822115278    381.297
       221401.0  46.97929994444  15.42821972222    381.476
       221402.0  46.97929887500  15.42821289167    381.376
       221403.0  46.97929913056  15.42821770000    380.951
       221404.0  46.97929917500  15.42821968889    381.118
       221405.0  46.97930157500  15.42821727222    381.334
       221406.0  46.97929959167  15.42821750833    381.362
       221407.0  46.97930014444  15.42822186389    381.877
       221408.0  46.97930175000  15.42822013889    381.305
       221409.0  46.97930121389  15.42822246667    381.568
       221410.0  46.97929853333  15.42822160833    381.991
       221411.0  46.97929288889  15.42821829167    382.193
       221412.0  46.97929545000  15.42821611667    382.343
       221413.0  46.97929571389  15.42821475000    382.389
       221414.0  46.97929582778  15.42821493333    382.139
       221415.0  46.97929874167  15.42821924167    382.413
       221416.0  46.97929454444  15.42821955833    382.445
       221417.0  46.97929903056  15.42822027222    382.225
       221418.0  46.97929891667  15.42821840556    382.240
       221419.0  46.97929718611  15.42822017222    382.191
       221420.0  46.97929727500  15.42821665000    381.720
       221421.0  46.97929876389  15.42822152778    382.418
       221422.0  46.97929924444  15.42822074167    381.498
       221423.0  46.97929583889  15.42822272500    380.862
       221424.0  46.97929725556  15.42821803333    381.135
       221425.0  46.97930069444  15.42821529722    381.499
       221426.0  46.97929782222  15.42821951667    381.942
       221427.0  46.97929907222  15.42821855278    382.644
       221428.0  46.97929766111  15.42821701389    382.738
       221429.0  46.97929796944  15.42821507500    382.124
       221430.0  46.97930236944  15.42821618889    381.576
       221431.0  46.97929993333  15.42821534444    382.205
       221432.0  46.97930209722  15.42821578333    382.092
       221433.0  46.97929961111  15.42821808056    382.347
       221434.0  46.97930020000  15.42821617500    382.151
       221435.0  46.97930209722  15.42821460833    381.499
       221436.0  46.97929984167  15.42821718056    381.147
       221437.0  46.97929645833  15.42821990278    380.955
       221438.0  46.97929646389  15.42821690000    381.718
       221439.0  46.97929985000  15.42821816111    381.515
       221440.0  46.97929758611  15.42821744722    382.101
       221441.0  46.97929367778  15.42821932778    382.214
       221442.0  46.97929806111  15.42822162778    381.695
       221443.0  46.97929643889  15.42821989444    382.731
       221444.0  46.97930036944  15.42821920556    382.220
       221445.0  46.97929860278  15.42822178333    381.600
       221446.0  46.97929864444  15.42821761667    381.504
       221447.0  46.97929845833  15.42821805833    381.616
       221448.0  46.97929630556  15.42821483611    382.795
       221449.0  46.97929763889  15.42821392222    383.657
       221450.0  46.97929687500  15.42822206667    383.155
       221451.0  46.97930055000  15.42823395833    381.284
       221452.0  46.97930677222  15.42825488333    381.482
       221453.0  46.97931681944  15.42829103889    382.306
       221454.0  46.97933223056  15.42832796944    382.256
       221455.0  46.97934755000  15.42836169167    381.820
       221456.0  46.97937019444  15.42839722222    381.057
       221457.0  46.97938868333  15.42844119444    381.744
       221458.0  46.97940894444  15.42849128889    382.300
       221459.0  46.97942466944  15.42853813611    382.084
       221460.0  46.97944161389  15.42858556944    383.163
       221461.0  46.97947050278  15.42863599444    382.759
       221462.0  46.97949943056  15.42869376111    382.845
       221463.0  46.97952741667  15.42875697222    382.205
       221464.0  46.97954761667  15.42882172778    382.500
       221465.0  46.97956588889  15.42889589722    383.485
       221466.0  46.97958457222  15.42897181944    382.649
       221467.0  46.97959858056  15.42904584722    381.962
       221468.0  46.97960906667  15.42913015000    382.613
       221469.0  46.97961234444  15.42920799444    383.663
       221470.0  46.97958944444  15.42926042778    385.033
       221471.0  46.97958304444  15.42934360833    382.382
       221472.0  46.97954236111  15.42939526389    381.644
       221473.0  46.97948802778  15.42942708056    381.108
       221474.0  46.97943320000  15.42943670000    381.896
       221475.0  46.97937657222  15.42944423889    381.786
       221476.0  46.97932091389  15.42945445278    382.233
       221477.0  46.97926275000  15.42947375000    382.018
       221478.0  46.97920835833  15.42949864444    381.370
       221479.0  46.97915427222  15.42952743056    380.917
       221480.0  46.97909387778  15.42955629167    380.466
       221481.0  46.97903519444  15.42958810000    380.185
       221482.0  46.97896720278  15.42961434444    381.119
       221483.0  46.97890507500  15.42964055556    382.313
       221484.0  46.97883783889  15.42967238333    383.193
       221485.0  46.97877590278  15.42970542778    383.221
       221486.0  46.97871081389  15.42974201389    383.227
       221487.0  46.97864920278  15.42977410833    382.734
       221488.0  46.97858486667  15.42980203889    382.666
       221489.0  46.97851795000  15.42983571944    382.814
       221490.0  46.97846057222  15.42986758889    382.402
       221491.0  46.97840661944  15.42990446944    382.545
       221492.0  46.97833821389  15.42991745833    381.899
       221493.0  46.97827974444  15.42989343056    382.199
       221494.0  46.97823240000  15.42984856944    382.450
       221495.0  46.97819933611  15.42978143889    382.183
       221496.0  46.97818091944  15.42968755556    382.440
       221497.0  46.97816922500  15.42959916667    383.064
       221498.0  46.97815482778  15.42950196944    382.409
       221499.0  46.97813813889  15.42940621944    382.035
       221500.0  46.97812146667  15.42930615556    381.453
       221501.0  46.97810039722  15.42920624722    382.020
       221502.0  46.97807925000  15.42911121667    382.274
       221503.0  46.97805724444  15.42901677778    382.653
       221504.0  46.97803213611  15.42891861667    382.754
       221505.0  46.97799250833  15.42884066667    380.323
       221506.0  46.97799297222  15.42873853611    379.390
       221507.0  46.97796569167  15.42864269444    379.735
       221508.0  46.97796946944  15.42852333611    382.192
       221509.0  46.97790068889  15.42845335000    381.231
       221510.0  46.97786678611  15.42835410278    381.002
       221511.0  46.97786897222  15.42822538056    382.654
       221512.0  46.97783891944  15.42813169722    381.947
       221513.0  46.97781033611  15.42803101944    382.290
       221514.0  46.97778976389  15.42792373889    383.520
       221515.0  46.97775179167  15.42783031667    383.111
       221516.0  46.97772172222  15.42773603889    382.564
       221517.0  46.97770073889  15.42763195278    382.292
       221518.0  46.97767161944  15.42752333889    382.763
       221519.0  46.97764549722  15.42741890556    382.482
       221520.0  46.97762205556  15.42731125000    382.299
       221521.0  46.97759166667  15.42720709722    381.998
       221522.0  46.97756888056  15.42709757500    382.879
       221523.0  46.97755128333  15.42698981389    382.280
       221524.0  46.97753025278  15.42688634444    382.796
       221525.0  46.97750273889  15.42677577222    382.281
       221526.0  46.97747751667  15.42666451667    382.282
       221527.0  46.97745295278  15.42655404444    381.603
       221528.0  46.97742908056  15.42644337500    381.355
       221529.0  46.97740307222  15.42632672500    382.420
       221530.0  46.97737956944  15.42621406389    383.202
       221531.0  46.97735266389  15.42610240278    383.418
       221532.0  46.97733437222  15.42598663889    383.176
       221533.0  46.97730666389  15.42587970278    382.981
       221534.0  46.97728881389  15.42577563056    382.490
       221535.0  46.97728380278  15.42568113056    383.058
       221536.0  46.97729846389  15.42559813333    382.553
       221537.0  46.97733343611  15.42551985556    382.170
       221538.0  46.97738880278  15.42545770833    381.843
       221539.0  46.97744545278  15.42540679167    381.786
       221540.0  46.97750890556  15.42535122778    382.013
       221541.0  46.97757259167  15.42529185556    381.916
       221542.0  46.97763566111  15.42524415000    381.232
       221543.0  46.97770023056  15.42518165000    381.176
       221544.0  46.97776156944  15.42512015278    380.701
       221545.0  46.97782361389  15.42505909722    380.449
       221546.0  46.97788380833  15.42500143611    381.543
       221547.0  46.97794736111  15.42495100278    382.432
       221548.0  46.97801228611  15.42489332222    382.557
       221549.0  46.97808053333  15.42483751111    381.526
       221550.0  46.97814773056  15.42478888611    381.154
       221551.0  46.97821417778  15.42472857778    381.215
       221552.0  46.97828249722  15.42467962500    381.891
       221553.0  46.97835076389  15.42462534722    382.399
       221554.0  46.97841631111  15.42456610278    382.442
       221555.0  46.97847926111  15.42450521111    382.634
       221556.0  46.97854330000  15.42444638611    382.968
       221557.0  46.97860867778  15.42439088611    382.927
       221558.0  46.97867481667  15.42433308889    382.079
       221559.0  46.97874070556  15.42427894722    382.506
       221560.0  46.97879981944  15.42422208056    382.585
       221561.0  46.97886243333  15.42416908333    383.176
       221562.0  46.97892318889  15.42411509167    383.117
       221563.0  46.97898401111  15.42406238333    383.419
       221564.0  46.97904104722  15.42400561944    382.743
       221565.0  46.97910115833  15.42394930833    382.781
       221566.0  46.97916086667  15.42389856944    382.794
       221567.0  46.97922035000  15.42384640556    381.991
       221568.0  46.97928290278  15.42379464167    381.911
       221569.0  46.97933995556  15.42374546389    381.360
       221570.0  46.97939648056  15.42369442222    381.271
       221571.0  46.97945070000  15.42364125833    382.126
       221572.0  46.97950756389  15.42359251389    382.022
       221573.0  46.97955994722  15.42354740556    383.348
       221574.0  46.97961086944  15.42350028889    383.758
       221575.0  46.97966173889  15.42347261944    385.025
       221576.0  46.97970984444  15.42341730833    383.355
       221577.0  46.97975929167  15.42337037500    382.511
       221578.0  46.97980956944  15.42331544722    382.971
       221579.0  46.97986481389  15.42325836111    384.375
